game_id,streak
ID0001,1
ID0002,2
ID0003,3
ID0004,-1
ID0005,-2
ID0006,-3
ID0007,1
ID0008,-1
ID0009,1
ID0010,-1
ID0011,-2
ID0012,1
ID0013,2
ID0014,3
ID0015,-1
ID0016,-2
ID0017,1
ID0018,-1
ID0019,-2
ID0020,-3
ID0021,-4
ID0022,-5
ID0023,1
ID0024,2
ID0025,3
ID0026,-1
ID0027,-2
ID0028,1
ID0029,-1
ID0030,-2
ID0031,-3
ID0032,1
ID0033,2
ID0034,-1
ID0035,1
ID0036,-1
ID0037,1
ID0038,-1
ID0039,1
ID0040,2
ID0041,-1
ID0042,-2
ID0043,-3
ID0044,1
ID0045,2
ID0046,3
ID0047,-1
ID0048,1
ID0049,1
ID0050,1
ID0051,2
ID0052,3
ID0053,-1
ID0054,1
ID0055,1
ID0056,-1
ID0057,-2
ID0058,-3
ID0059,-4
ID0060,-5
ID0061,1
ID0062,2
ID0063,-1
ID0064,1
ID0065,2
ID0066,3
ID0067,4
ID0068,-1
ID0069,1
ID0070,2
ID0071,3
ID0072,4
ID0073,-1
ID0074,-2
ID0075,-3
ID0076,1
ID0077,2
ID0078,-1
ID0079,1
ID0080,2
ID0081,3
ID0082,-1
ID0083,1
ID0084,2
ID0085,-1
ID0086,-2
ID0087,1
ID0088,-1
ID0089,1
ID0090,2
ID0091,-1
ID0092,1
ID0093,-1
ID0094,-2
ID0095,1
ID0096,-1
ID0097,1
ID0098,2
ID0099,-1
ID0100,-2
ID0101,-3
ID0102,-4
ID0103,1
ID0104,2
ID0105,3
ID0106,-1
ID0107,-2
ID0108,-3
ID0109,1
ID0110,2
ID0111,3
ID0112,-1
ID0113,1
ID0114,2
ID0115,3
ID0116,-1
ID0117,-2
ID0118,1
ID0119,-1
ID0120,1
ID0121,2
ID0122,-1
ID0123,-2
ID0124,1
ID0125,-1
ID0126,1
ID0127,-1
ID0128,1
ID0129,-1
ID0130,-2
ID0131,1
ID0132,-1
ID0133,-2
ID0134,1
ID0135,2
ID0136,3
ID0137,4
ID0138,-1
ID0139,-2
ID0140,-3
ID0141,1
ID0142,2
ID0143,-1
ID0144,-2
ID0145,-3
ID0146,1
ID0147,-1
ID0148,1
ID0149,2
ID0150,-1
ID0151,-2
ID0152,-3
ID0153,-4
ID0154,1
ID0155,2
ID0156,3
ID0157,-1
ID0158,1
ID0159,-1
ID0160,1
ID0161,2
ID0162,3
ID0163,-1
ID0164,-2
ID0165,-3
ID0166,-4
ID0167,-5
ID0168,1
ID0169,2
ID0170,-1
ID0171,-2
ID0172,1
ID0173,-1
ID0174,-2
ID0175,-3
ID0176,-4
ID0177,1
ID0178,2
ID0179,3
ID0180,-1
ID0181,-2
ID0182,1
ID0183,-1
ID0184,-2
ID0185,1
ID0186,2
ID0187,-1
ID0188,-2
ID0189,-3
ID0190,-4
ID0191,1
ID0192,-1
ID0193,-2
ID0194,-3
ID0195,-4
ID0196,1
ID0197,2
ID0198,-1
ID0199,1
ID0200,-1
ID0201,-2
ID0202,1
ID0203,-1
ID0204,1
ID0205,-1
ID0206,1
ID0207,2
ID0208,-1
ID0209,-2
ID0210,-3
ID0211,1
ID0212,-1
ID0213,1
ID0214,2
ID0215,-1
ID0216,-2
ID0217,-3
ID0218,1
ID0219,2
ID0220,-1
ID0221,-2
ID0222,1
ID0223,-1
ID0224,1
ID0225,2
ID0226,-1
ID0227,-2
ID0228,-3
ID0229,1
ID0230,2
ID0231,3
ID0232,1
ID0233,1
ID0234,1
ID0235,-1
ID0236,-2
ID0237,-3
ID0238,1
ID0239,-1
ID0240,-2
ID0241,1
ID0242,-1
ID0243,1
ID0244,-1
ID0245,1
ID0246,-1
ID0247,-2
ID0248,-3
ID0249,1
ID0250,2
ID0251,-1
ID0252,1
ID0253,2
ID0254,3
ID0255,4
ID0256,5
ID0257,-1
ID0258,1
ID0259,1
ID0260,1
ID0261,-1
ID0262,-2
ID0263,1
ID0264,-1
ID0265,-2
ID0266,1
ID0267,-1
ID0268,-2
ID0269,1
ID0270,2
ID0271,-1
ID0272,1
ID0273,2
ID0274,3
ID0275,4
ID0276,5
ID0277,6
ID0278,7
ID0279,8
ID0280,-1
ID0281,1
ID0282,-1
ID0283,1
ID0284,-1
ID0285,1
ID0286,2
ID0287,-1
ID0288,-2
ID0289,1
ID0290,2
ID0291,-1
ID0292,-2
ID0293,-3
ID0294,-4
ID0295,-5
ID0296,-6
ID0297,1
ID0298,2
ID0299,3
