game_id,avg_pr,is_white,result
ID0001,589.8000,                            0,1.0
ID0002,511.3333,                            1,1.0
ID0003,169.5000,                            0,1.0
ID0004,446.3333,                            0,0.0
ID0005,641.0000,                            1,0.0
ID0006,146.5000,                            0,0.0
ID0007,180.5000,                            0,1.0
ID0008,528.5000,                            1,0.0
ID0009,0.0000,                            1,1.0
ID0010,357.3333,                            0,0.0
ID0011,325.6667,                            0,0.0
ID0012,0.0000,                            1,1.0
ID0013,569.0000,                            0,1.0
ID0014,573.1667,                            1,1.0
ID0015,493.7500,                            1,0.0
ID0016,771.0000,                            1,0.0
ID0017,126.0000,                            0,1.0
ID0018,498.0000,                            0,0.0
ID0019,426.0000,                            1,0.0
ID0020,265.6667,                            0,0.0
ID0021,131.0000,                            1,0.0
ID0022,444.2500,                            1,0.0
ID0023,155.7500,                            1,1.0
ID0024,246.3333,                            0,1.0
ID0025,278.6250,                            0,1.0
ID0026,290.5714,                            1,0.0
ID0027,301.0000,                            0,0.0
ID0028,453.5000,                            1,1.0
ID0029,454.2857,                            1,0.0
ID0030,302.5000,                            0,0.0
ID0031,240.5000,                            0,0.0
ID0032,272.0000,                            1,1.0
ID0033,333.3333,                            0,1.0
ID0034,101.0000,                            0,0.0
ID0035,301.5000,                            1,0.5
ID0036,347.5000,                            0,0.0
ID0037,186.3333,                            1,1.0
ID0038,309.0000,                            1,0.0
ID0039,664.8000,                            1,1.0
ID0040,171.0000,                            1,1.0
ID0041,188.8333,                            1,0.0
ID0042,271.1429,                            0,0.0
ID0043,0.0000,                            1,0.0
ID0044,164.6667,                            0,1.0
ID0045,320.3333,                            0,1.0
ID0046,114.5000,                            1,1.0
ID0047,258.2500,                            0,0.0
ID0048,215.5000,                            0,1.0
ID0049,315.2000,                            1,0.5
ID0050,312.1429,                            0,1.0
ID0051,334.0000,                            0,1.0
ID0052,0.0000,                            1,1.0
ID0053,145.0000,                            1,0.0
ID0054,353.4000,                            1,1.0
ID0055,328.5000,                            0,0.5
ID0056,329.0000,                            0,0.0
ID0057,271.3333,                            1,0.0
ID0058,282.8750,                            0,0.0
ID0059,423.0000,                            1,0.0
ID0060,291.0000,                            0,0.0
ID0061,299.0000,                            1,1.0
ID0062,355.0000,                            0,1.0
ID0063,252.0000,                            1,0.0
ID0064,208.0000,                            0,1.0
ID0065,220.6667,                            0,1.0
ID0066,250.0000,                            0,1.0
ID0067,282.5000,                            1,1.0
ID0068,396.6000,                            1,0.0
ID0069,419.0000,                            0,1.0
ID0070,207.3333,                            0,1.0
ID0071,258.3000,                            0,1.0
ID0072,251.6667,                            1,1.0
ID0073,630.5000,                            1,0.0
ID0074,351.0000,                            0,0.0
ID0075,334.3333,                            0,0.0
ID0076,246.8000,                            1,1.0
ID0077,265.6667,                            1,1.0
ID0078,0.0000,                            1,0.0
ID0079,202.3333,                            0,1.0
ID0080,250.8333,                            1,1.0
ID0081,0.0000,                            0,1.0
ID0082,123.0000,                            0,0.0
ID0083,0.0000,                            1,1.0
ID0084,177.3333,                            0,1.0
ID0085,309.5000,                            1,0.0
ID0086,555.7500,                            0,0.0
ID0087,413.8000,                            1,1.0
ID0088,254.0000,                            0,0.0
ID0089,0.0000,                            1,1.0
ID0090,311.0000,                            1,1.0
ID0091,342.4444,                            1,0.0
ID0092,346.8000,                            1,1.0
ID0093,233.0000,                            0,0.0
ID0094,498.0000,                            0,0.0
ID0095,160.7500,                            0,1.0
ID0096,552.3333,                            1,0.0
ID0097,205.2500,                            0,1.0
ID0098,174.4000,                            0,1.0
ID0099,266.7500,                            0,0.0
ID0100,168.0000,                            1,0.0
ID0101,0.0000,                            1,0.0
ID0102,285.2500,                            1,0.0
ID0103,163.1667,                            1,1.0
ID0104,120.5000,                            1,1.0
ID0105,104.0000,                            0,1.0
ID0106,237.1429,                            0,0.0
ID0107,284.7500,                            1,0.0
ID0108,585.0000,                            0,0.0
ID0109,272.5000,                            0,1.0
ID0110,130.0000,                            0,1.0
ID0111,260.0000,                            1,1.0
ID0112,607.7500,                            0,0.0
ID0113,252.0000,                            0,1.0
ID0114,131.0000,                            1,1.0
ID0115,0.0000,                            1,1.0
ID0116,480.5000,                            1,0.0
ID0117,153.5000,                            1,0.0
ID0118,283.0000,                            1,1.0
ID0119,245.0000,                            0,0.0
ID0120,178.2500,                            1,1.0
ID0121,265.5000,                            0,1.0
ID0122,145.0000,                            0,0.0
ID0123,220.8333,                            0,0.0
ID0124,347.8750,                            1,1.0
ID0125,522.0000,                            0,0.0
ID0126,223.0000,                            1,1.0
ID0127,309.0000,                            1,0.0
ID0128,216.1667,                            0,1.0
ID0129,505.1429,                            1,0.0
ID0130,284.0000,                            0,0.0
ID0131,166.0000,                            1,0.5
ID0132,255.5000,                            0,0.0
ID0133,208.1429,                            0,0.0
ID0134,305.5000,                            0,1.0
ID0135,293.7500,                            1,1.0
ID0136,270.6667,                            0,1.0
ID0137,183.2500,                            1,1.0
ID0138,418.0000,                            1,0.0
ID0139,436.6667,                            0,0.0
ID0140,240.8000,                            1,0.0
ID0141,177.0000,                            1,1.0
ID0142,189.0000,                            0,1.0
ID0143,312.7500,                            1,0.0
ID0144,598.3333,                            0,0.0
ID0145,1055.0000,                            0,0.0
ID0146,136.0000,                            1,1.0
ID0147,913.0000,                            0,0.0
ID0148,185.0000,                            0,1.0
ID0149,328.3750,                            1,1.0
ID0150,421.5000,                            0,0.0
ID0151,321.0000,                            1,0.0
ID0152,330.0000,                            1,0.0
ID0153,280.0000,                            0,0.0
ID0154,0.0000,                            1,1.0
ID0155,388.0000,                            1,1.0
ID0156,434.0000,                            0,1.0
ID0157,138.0000,                            1,0.0
ID0158,401.3333,                            0,1.0
ID0159,289.0000,                            0,0.0
ID0160,263.0000,                            1,1.0
ID0161,365.2000,                            0,1.0
ID0162,333.6000,                            1,1.0
ID0163,417.0000,                            0,0.0
ID0164,267.0000,                            1,0.0
ID0165,257.0000,                            1,0.0
ID0166,491.0000,                            0,0.0
ID0167,249.5000,                            1,0.0
ID0168,0.0000,                            1,1.0
ID0169,276.3333,                            1,1.0
ID0170,243.7500,                            0,0.0
ID0171,101.0000,                            1,0.0
ID0172,302.0000,                            0,1.0
ID0173,207.2500,                            0,0.0
ID0174,202.1667,                            1,0.0
ID0175,175.0000,                            0,0.0
ID0176,157.0000,                            1,0.0
ID0177,194.7273,                            0,1.0
ID0178,212.2000,                            0,1.0
ID0179,117.0000,                            1,1.0
ID0180,148.2500,                            1,0.0
ID0181,205.6667,                            0,0.0
ID0182,579.7500,                            1,1.0
ID0183,220.5000,                            1,0.0
ID0184,224.4000,                            0,0.0
ID0185,222.0000,                            0,1.0
ID0186,141.3333,                            1,1.0
ID0187,261.6667,                            1,0.0
ID0188,313.1667,                            0,0.0
ID0189,192.2500,                            0,0.0
ID0190,299.0000,                            1,0.0
ID0191,430.0000,                            0,1.0
ID0192,387.6000,                            0,0.0
ID0193,495.0000,                            0,0.0
ID0194,298.6667,                            1,0.0
ID0195,350.0000,                            1,0.0
ID0196,368.6667,                            1,1.0
ID0197,214.4286,                            0,1.0
ID0198,136.0000,                            1,0.0
ID0199,369.1667,                            1,0.5
ID0200,262.0000,                            0,0.0
ID0201,108.0000,                            1,0.0
ID0202,0.0000,                            0,1.0
