game_id,sesh_cnt,elo_diff
ID0001,1,0
ID0002,2,8
ID0003,3,16
ID0004,1,-8
ID0005,2,-17
ID0006,3,-26
ID0007,4,-19
ID0008,5,-28
ID0009,6,-19
ID0010,7,-27
ID0011,8,-35
ID0012,9,-27
ID0013,10,-21
ID0014,11,-13
ID0015,12,-22
ID0016,13,-30
ID0017,14,-22
ID0018,15,-30
ID0019,16,-38
ID0020,1,15
ID0021,2,8
ID0022,3,1
ID0023,4,10
ID0024,5,18
ID0025,6,28
ID0026,1,-7
ID0027,2,-15
ID0028,3,-8
ID0029,4,-17
ID0030,5,-25
ID0031,6,-32
ID0032,7,-23
ID0033,8,-15
ID0034,9,-22
ID0035,10,-23
ID0036,11,-32
ID0037,12,-24
ID0038,13,-31
ID0039,14,-22
ID0040,15,-12
ID0041,1,-8
ID0042,2,-16
ID0043,3,-25
ID0044,4,-17
ID0045,5,-10
ID0046,6,-3
ID0047,7,-12
ID0048,8,-5
ID0049,9,-6
ID0050,10,1
ID0051,1,8
ID0052,2,15
ID0053,3,7
ID0054,4,15
ID0055,5,17
ID0056,6,8
ID0057,7,1
ID0058,8,-8
ID0059,9,-17
ID0060,10,-24
ID0061,11,-9
ID0062,12,-2
ID0063,13,-10
ID0064,14,-2
ID0065,15,6
ID0066,1,-7
ID0067,2,1
ID0068,3,-8
ID0069,4,2
ID0070,1,-26
ID0071,2,-18
ID0072,3,-9
ID0073,1,-8
ID0074,2,-15
ID0075,3,-23
ID0076,4,-16
ID0077,5,-8
ID0078,6,-16
ID0079,7,-7
ID0080,1,24
ID0081,2,32
ID0082,3,25
ID0083,4,34
ID0084,1,16
ID0085,1,-6
ID0086,2,-13
ID0087,3,-6
ID0088,1,-19
ID0089,2,-11
ID0090,1,8
ID0091,1,-5
ID0092,2,3
ID0093,3,-5
ID0094,4,-14
ID0095,5,-7
ID0096,6,-15
ID0097,7,-6
ID0098,8,2
ID0099,9,-7
ID0100,10,-14
ID0101,11,-22
ID0102,12,-30
ID0103,13,-22
ID0104,14,-14
ID0105,15,-7
ID0106,1,-8
ID0107,2,-15
ID0108,3,-25
ID0109,4,-16
ID0110,5,-9
ID0111,6,-1
ID0112,7,-8
ID0113,8,-1
ID0114,9,5
ID0115,10,12
ID0116,11,3
ID0117,12,-6
ID0118,13,2
ID0119,14,-3
ID0120,15,5
ID0121,16,13
ID0122,1,-7
ID0123,2,-17
ID0124,3,-9
ID0125,4,-14
ID0126,5,-7
ID0127,6,-15
ID0128,7,-8
ID0129,8,-16
ID0130,9,-25
ID0131,10,-24
ID0132,11,-32
ID0133,12,-40
ID0134,13,-32
ID0135,14,-24
ID0136,15,-15
ID0137,16,-8
ID0138,17,-15
ID0139,18,-22
ID0140,19,-32
ID0141,20,-24
ID0142,21,-14
ID0143,1,-9
ID0144,2,-17
ID0145,3,-25
ID0146,4,-17
ID0147,5,-25
ID0148,6,-18
ID0149,7,-9
ID0150,8,-18
ID0151,9,-26
ID0152,10,-34
ID0153,11,-43
ID0154,12,-36
ID0155,13,-28
ID0156,14,-22
ID0157,15,-30
ID0158,16,-21
ID0159,17,-30
ID0160,18,-22
ID0161,19,-16
ID0162,20,-9
ID0163,21,-16
ID0164,22,-23
ID0165,23,-34
ID0166,24,-40
ID0167,25,-48
ID0168,26,-41
ID0169,27,-34
ID0170,28,-42
ID0171,29,-51
ID0172,30,-42
ID0173,31,-49
ID0174,32,-57
ID0175,33,-66
ID0176,34,-74
ID0177,35,-66
ID0178,36,-59
ID0179,37,-51
ID0180,38,-60
ID0181,39,-68
ID0182,40,-58
ID0183,41,-69
ID0184,42,-77
ID0185,43,-69
ID0186,44,-60
ID0187,45,-69
ID0188,46,-77
ID0189,47,-83
ID0190,48,-91
ID0191,49,-83
ID0192,50,-90
ID0193,51,-97
ID0194,52,-104
ID0195,53,-112
ID0196,54,-104
ID0197,55,-97
ID0198,56,-105
ID0199,57,-105
ID0200,58,-113
ID0201,59,-122
ID0202,60,-113
ID0203,61,-122
ID0204,62,-115
ID0205,63,-123
ID0206,64,-115
ID0207,65,-107
ID0208,66,-114
ID0209,67,-121
ID0210,68,-129
ID0211,69,-128
ID0212,70,-136
ID0213,71,-129
ID0214,72,-120
ID0215,73,-128
ID0216,74,-137
ID0217,75,-145
ID0218,76,-137
ID0219,77,-127
ID0220,78,-134
ID0221,79,-142
ID0222,80,-135
ID0223,81,-144
ID0224,82,-137
ID0225,83,-128
ID0226,84,-134
ID0227,85,-139
ID0228,86,-146
ID0229,87,-138
ID0230,88,-131
ID0231,1,8
ID0232,2,7
ID0233,3,14
ID0234,4,13
ID0235,5,4
ID0236,6,-3
ID0237,7,-10
ID0238,8,-2
ID0239,9,-9
ID0240,10,-19
ID0241,11,-11
ID0242,12,-19
ID0243,13,-11
ID0244,14,-18
ID0245,15,-11
ID0246,16,-20
ID0247,17,-26
ID0248,18,-35
ID0249,19,-28
ID0250,20,-19
ID0251,21,-28
ID0252,22,-20
ID0253,23,-12
ID0254,24,-6
ID0255,25,2
ID0256,26,10
ID0257,27,2
ID0258,28,12
ID0259,29,13
ID0260,30,19
ID0261,31,11
ID0262,32,2
ID0263,33,9
ID0264,34,1
ID0265,35,-7
ID0266,36,1
ID0267,37,-6
ID0268,38,-14
ID0269,39,-5
ID0270,40,2
ID0271,41,-6
ID0272,42,2
ID0273,43,10
ID0274,44,17
ID0275,45,25
ID0276,46,31
ID0277,47,39
ID0278,48,47
ID0279,49,55
ID0280,50,47
ID0281,51,56
ID0282,52,50
ID0283,53,57
ID0284,54,49
ID0285,55,57
ID0286,56,64
ID0287,57,57
ID0288,58,49
ID0289,59,57
ID0290,60,67
ID0291,61,58
ID0292,62,51
ID0293,63,41
ID0294,64,33
ID0295,65,24
ID0296,66,15
ID0297,67,25
ID0298,68,31
ID0299,69,38
ID0300,70,33
ID0301,71,40
ID0302,72,49
ID0303,73,56
ID0304,74,65
ID0305,75,58
ID0306,76,50
ID0307,77,58
ID0308,78,67
ID0309,79,74
ID0310,80,82
ID0311,1,16
ID0312,2,8
ID0313,3,-1
ID0314,4,-9
ID0315,5,-2
ID0316,6,6
ID0317,7,14
ID0318,8,5
ID0319,9,3
ID0320,10,-4
ID0321,11,-11
ID0322,12,-17
ID0323,13,-24
ID0324,14,-32
ID0325,15,-39
ID0326,16,-32
ID0327,17,-24
ID0328,18,-16
ID0329,19,-24
ID0330,20,-32
ID0331,21,-40
ID0332,22,-47
ID0333,23,-57
ID0334,24,-65
ID0335,25,-65
ID0336,26,-57
ID0337,27,-65
ID0338,28,-72
ID0339,29,-66
ID0340,30,-75
ID0341,31,-66
ID0342,32,-74
ID0343,33,-67
ID0344,34,-61
ID0345,35,-53
ID0346,36,-61
ID0347,37,-68
ID0348,38,-60
ID0349,1,7
ID0350,2,14
ID0351,1,8
ID0352,2,1
ID0353,3,-7
ID0354,4,0
ID0355,5,8
ID0356,6,8
ID0357,7,17
ID0358,1,-9
ID0359,2,-18
ID0360,3,-9
ID0361,4,-2
ID0362,5,-1
ID0363,6,-10
ID0364,7,-18
ID0365,8,-25
ID0366,9,-16
ID0367,10,-9
ID0368,11,-1
ID0369,12,7
ID0370,13,-1
ID0371,14,6
ID0372,15,14
ID0373,1,-51
ID0374,2,-58
ID0375,3,-50
ID0376,4,-57
ID0377,5,-65
ID0378,6,-73
ID0379,7,-72
ID0380,8,-64
ID0381,9,-57
ID0382,10,-50
ID0383,11,-58
ID0384,12,-66
ID0385,13,-58
ID0386,14,-51
ID0387,15,-58
ID0388,16,-51
ID0389,17,-43
ID0390,1,51
ID0391,2,43
ID0392,3,35
ID0393,4,26
ID0394,5,19
ID0395,6,10
ID0396,7,1
ID0397,8,-7
ID0398,9,-16
ID0399,10,-8
ID0400,11,0
ID0401,12,9
ID0402,13,1
ID0403,1,-8
ID0404,2,-17
ID0405,3,-10
ID0406,4,-18
ID0407,5,-27
ID0408,6,-35
ID0409,7,-27
ID0410,8,-37
ID0411,9,-30
ID0412,1,7
ID0413,2,16
ID0414,3,23
ID0415,4,15
ID0416,5,23
ID0417,1,-10
ID0418,2,-18
ID0419,3,-11
ID0420,4,-17
ID0421,5,-25
ID0422,6,-16
ID0423,7,-25
ID0424,8,-32
ID0425,9,-24
ID0426,10,-34
ID0427,11,-27
ID0428,12,-36
ID0429,13,-27
ID0430,14,-20
ID0431,15,-29
ID0432,16,-38
ID0433,17,-30
ID0434,18,-37
ID0435,19,-46
ID0436,20,-53
ID0437,21,-44
ID0438,22,-52
ID0439,23,-60
ID0440,24,-68
ID0441,25,-76
ID0442,26,-69
ID0443,27,-77
ID0444,28,-84
ID0445,29,-75
ID0446,30,-68
ID0447,31,-75
ID0448,32,-83
ID0449,33,-75
ID0450,34,-82
ID0451,35,-73
ID0452,36,-65
ID0453,37,-72
ID0454,38,-80
ID0455,39,-71
ID0456,40,-62
ID0457,41,-54
ID0458,42,-62
ID0459,43,-53
ID0460,44,-61
ID0461,45,-68
ID0462,46,-75
ID0463,47,-68
ID0464,48,-75
ID0465,49,-84
ID0466,50,-75
ID0467,51,-76
ID0468,52,-68
ID0469,53,-77
ID0470,54,-68
ID0471,55,-60
ID0472,56,-68
ID0473,57,-75
ID0474,58,-67
ID0475,59,-75
ID0476,60,-83
ID0477,61,-75
ID0478,62,-66
ID0479,63,-58
ID0480,64,-49
ID0481,65,-41
ID0482,66,-33
ID0483,67,-24
ID0484,68,-15
ID0485,69,-25
ID0486,70,-32
ID0487,71,-24
ID0488,72,-24
ID0489,73,-33
ID0490,74,-41
ID0491,75,-49
ID0492,76,-57
ID0493,77,-65
ID0494,78,-73
ID0495,79,-81
ID0496,80,-72
ID0497,81,-66
ID0498,82,-73
ID0499,83,-66
ID0500,84,-74
ID0501,85,-81
ID0502,86,-90
ID0503,87,-81
ID0504,88,-89
ID0505,89,-98
ID0506,90,-106
ID0507,91,-98
ID0508,92,-90
ID0509,93,-81
ID0510,94,-73
ID0511,95,-65
ID0512,96,-72
ID0513,97,-64
ID0514,98,-73
ID0515,99,-66
ID0516,100,-58
ID0517,101,-50
ID0518,102,-58
ID0519,103,-65
ID0520,104,-72
ID0521,105,-64
ID0522,106,-56
ID0523,107,-47
ID0524,108,-54
ID0525,109,-62
ID0526,110,-69
ID0527,111,-60
ID0528,112,-68
ID0529,113,-61
ID0530,114,-54
ID0531,115,-47
ID0532,116,-37
ID0533,1,-1
ID0534,2,-10
ID0535,3,-1
